t	U	P	msd	sigmaxy	f2tdu2
3.62	0.142405	0.30607	0.955461	6.45753	-0.894948
3.63	0.151119	0.306282	0.965208	5.18534	-1.8982
3.64	0.159567	0.306466	0.972581	5.06865	-1.24326
3.65	0.17053	0.3067	0.979283	5.80409	0.0905473
3.66	0.16513	0.306585	0.973783	2.57257	-1.20314
3.67	0.175416	0.306807	0.971496	-1.24631	-0.0985526
3.68	0.196606	0.30721	0.986792	0.965172	7.02573
3.69	0.168407	0.306594	0.979294	-2.51173	4.04764
3.7	0.157504	0.306346	0.972823	-3.89931	2.89151
3.71	0.152874	0.306233	0.982271	-3.22576	2.22874
3.72	0.14775	0.306141	0.980787	-0.126133	1.11286
3.73	0.180802	0.306767	0.987608	2.84513	17.1659
3.74	0.132289	0.30579	0.978004	-1.4253	-0.408015
3.75	0.140091	0.305951	0.992774	-4.46279	2.67702
3.76	0.145716	0.306076	0.98374	-6.52894	2.98718
3.77	0.152288	0.306232	0.998868	-1.17674	3.67115
3.78	0.139639	0.305965	0.997349	2.95948	0.0449644
3.79	0.178483	0.306683	0.990436	11.8844	25.6441
3.8	0.163955	0.306424	0.988349	6.28882	10.0396
3.81	0.169337	0.306532	0.997625	4.48565	10.6459
3.82	0.172602	0.306561	1.01846	3.98291	18.3625
3.83	0.202387	0.307107	1.01767	7.33586	42.1411
3.84	0.194583	0.306984	1.01315	0.490393	34.4318
3.85	0.201081	0.307109	1.02596	2.91624	32.869
3.86	0.187619	0.306847	1.02466	-7.6466	28.4782
3.87	0.158325	0.306308	1.01992	-8.24904	12.7753
3.88	0.186823	0.306796	1.02876	-14.3464	43.6071
3.89	0.166523	0.30647	1.02845	-11.1061	14.8746
3.9	0.160109	0.306367	1.03669	-5.54824	7.00343
3.91	0.170428	0.306521	1.03615	-0.788287	18.8394
3.92	0.160558	0.306312	1.03313	4.11785	15.6037
3.93	0.171379	0.306505	1.04898	5.66675	25.384
3.94	0.15195	0.306119	1.05561	1.53904	16.3599
3.95	0.115425	0.305398	1.05991	0.0344042	0.174036
3.96	0.132212	0.305758	1.06498	5.66283	1.87884
